rev,phase,rotation_tick,profile,loader,pass,timing_regression,host_fallback,corpus_passed,corpus_total,pass_rate,loader_timing_regressions,host_fallback_rows,w75_real_corpus_pass_rate,w75_loader_timing_regressions,w75_host_fallback_rows
1541II,compat_signoff,106,strict,track_loader,1,0,0,6,6,100,0,0,100,0,0
1541II,compat_signoff,123,strict,multi_stage,1,0,0,7,7,100,0,0,100,0,0
1541II,compat_signoff,141,strict,irq_streamer,1,0,0,8,8,100,0,0,100,0,0
1541II,compat_signoff,160,full,kernal_load,1,0,0,9,9,100,0,0,100,0,0
1541II,compat_signoff,180,full,turbo_disk,1,0,0,10,10,100,0,0,100,0,0
1541II,compat_signoff,196,full,fastload_v1,1,0,0,11,11,100,0,0,100,0,0
1541II,compat_signoff,213,full,fastload_v2,1,0,0,12,12,100,0,0,100,0,0
1541II,compat_signoff,231,full,custom_burst,1,0,0,13,13,100,0,0,100,0,0
1541II,compat_signoff,250,full,track_loader,1,0,0,14,14,100,0,0,100,0,0
1541II,compat_signoff,270,full,multi_stage,1,0,0,15,15,100,0,0,100,0,0
1541II,compat_signoff,286,full,irq_streamer,1,0,0,16,16,100,0,0,100,0,0
1541II,compat_signoff,303,fast,kernal_load,1,0,0,17,17,100,0,0,100,0,0
1541II,compat_signoff,321,fast,turbo_disk,1,0,0,18,18,100,0,0,100,0,0
1541II,compat_signoff,340,fast,fastload_v1,1,0,0,19,19,100,0,0,100,0,0
1541II,compat_signoff,360,fast,fastload_v2,1,0,0,20,20,100,0,0,100,0,0
1541II,compat_signoff,376,fast,custom_burst,1,0,0,21,21,100,0,0,100,0,0
1541II,compat_signoff,393,fast,track_loader,1,0,0,22,22,100,0,0,100,0,0
1541II,compat_signoff,411,fast,multi_stage,1,0,0,23,23,100,0,0,100,0,0
1541II,compat_signoff,430,fast,irq_streamer,1,0,0,24,24,100,0,0,100,0,0
