"priority","title_id","side","capture_id","target_file","metadata_file","oracle_file","status","notes"
"P0","l5_archive_billbudgepinballconstructionsetcommodore64","A","cap02","datasets/level5/raw_flux/l5_archive_billbudgepinballconstructionsetcommodore64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_billbudgepinballconstructionsetcommodore64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_billbudgepinballconstructionsetcommodore64_sideA.oracle.json","pending","Capture with Greaseweazle from Archive.org source media; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_transylvania_c_64_atari","A","cap01","datasets/level5/raw_flux/l5_archive_transylvania_c_64_atari_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_transylvania_c_64_atari_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_transylvania_c_64_atari_sideA.oracle.json","imported","Imported from Archive.org transylvania-c-64-atari Track00.0.raw as provisional cap01; requires same-media Greaseweazle cap02 for promotion."
"P0","l5_archive_transylvania_c_64_atari","A","cap02","datasets/level5/raw_flux/l5_archive_transylvania_c_64_atari_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_transylvania_c_64_atari_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_transylvania_c_64_atari_sideA.oracle.json","pending","Capture with Greaseweazle same-media for true multi-capture and calibration."
"P0","l5_archive_transylvania_c_64_atari","B","cap01","datasets/level5/raw_flux/l5_archive_transylvania_c_64_atari_sideB_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_transylvania_c_64_atari_sideB_cap01.metadata.json","datasets/level5/oracles/l5_archive_transylvania_c_64_atari_sideB.oracle.json","imported","Imported from Archive.org transylvania-c-64-atari Track00.1.raw as provisional cap01; requires same-media Greaseweazle cap02 for promotion."
"P0","l5_archive_transylvania_c_64_atari","B","cap02","datasets/level5/raw_flux/l5_archive_transylvania_c_64_atari_sideB_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_transylvania_c_64_atari_sideB_cap02.metadata.json","datasets/level5/oracles/l5_archive_transylvania_c_64_atari_sideB.oracle.json","pending","Capture with Greaseweazle same-media for true multi-capture and calibration."
"P0","l5_archive_kane_human_race","A","cap01","datasets/level5/raw_flux/l5_archive_kane_human_race_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_kane_human_race_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_kane_human_race_sideA.oracle.json","imported","Imported from Archive.org kane-human-race Track00.0.raw as provisional cap01; requires same-media Greaseweazle cap02 for promotion."
"P0","l5_archive_kane_human_race","A","cap02","datasets/level5/raw_flux/l5_archive_kane_human_race_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_kane_human_race_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_kane_human_race_sideA.oracle.json","pending","Capture with Greaseweazle same-media for true multi-capture and calibration."
"P0","l5_archive_kane_human_race","B","cap01","datasets/level5/raw_flux/l5_archive_kane_human_race_sideB_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_kane_human_race_sideB_cap01.metadata.json","datasets/level5/oracles/l5_archive_kane_human_race_sideB.oracle.json","imported","Imported from Archive.org kane-human-race Track00.1.raw as provisional cap01; requires same-media Greaseweazle cap02 for promotion."
"P0","l5_archive_kane_human_race","B","cap02","datasets/level5/raw_flux/l5_archive_kane_human_race_sideB_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_kane_human_race_sideB_cap02.metadata.json","datasets/level5/oracles/l5_archive_kane_human_race_sideB.oracle.json","pending","Capture with Greaseweazle same-media for true multi-capture and calibration."
"P0","l5_archive_aztec_challenge_c64","A","cap01","datasets/level5/raw_flux/l5_archive_aztec_challenge_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_aztec_challenge_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_aztec_challenge_c64_sideA.oracle.json","imported","Imported from Archive.org aztec-challenge-c64 Track00.0.raw as provisional cap01; requires same-media Greaseweazle cap02 for promotion."
"P0","l5_archive_aztec_challenge_c64","A","cap02","datasets/level5/raw_flux/l5_archive_aztec_challenge_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_aztec_challenge_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_aztec_challenge_c64_sideA.oracle.json","pending","Capture with Greaseweazle same-media for true multi-capture and calibration."
"P0","l5_archive_aztec_challenge_c64","B","cap01","datasets/level5/raw_flux/l5_archive_aztec_challenge_c64_sideB_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_aztec_challenge_c64_sideB_cap01.metadata.json","datasets/level5/oracles/l5_archive_aztec_challenge_c64_sideB.oracle.json","imported","Imported from Archive.org aztec-challenge-c64 Track00.1.raw as provisional cap01; requires same-media Greaseweazle cap02 for promotion."
"P0","l5_archive_aztec_challenge_c64","B","cap02","datasets/level5/raw_flux/l5_archive_aztec_challenge_c64_sideB_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_aztec_challenge_c64_sideB_cap02.metadata.json","datasets/level5/oracles/l5_archive_aztec_challenge_c64_sideB.oracle.json","pending","Capture with Greaseweazle same-media for true multi-capture and calibration."
